,Economic Impact,Life Assessment,Maintenance Stratgy,Total_Indicator,lat,long
S68WEX0Q//D18-1-1CT,0.168,0.341,0.0,0.17,40.336,-3.232
S69FM59I//D17,0.217,0.406,0.0,0.208,40.337,-3.231
S6B014RF//D19,0.207,0.388,0.0,0.198,40.336,-3.231
S6DKBCST//D20,0.201,0.378,0.0,0.193,40.335,-3.229
S6GW2MLG//D21,0.196,0.367,0.0,0.188,40.334,-3.227
S6JOCF2T//D22,0.191,0.358,0.0,0.183,40.333,-3.226
S6MND6XT//D23,0.186,0.348,0.0,0.178,40.332,-3.224
S6POMA23//D24,0.181,0.339,0.0,0.173,40.331,-3.223
S6TMKI7P//D25,0.175,0.432,0.0,0.202,40.33,-3.22
S6WGD6QK//D26,0.17,0.319,0.0,0.163,40.329,-3.219
S6X7S4UK//189-15-CT,0.157,0.424,0.0,0.194,40.291,-3.218
S6XPQQ6E//189-14,0.224,0.549,0.0,0.258,40.291,-3.218
S7058P58//189-13,0.224,0.549,0.0,0.258,40.291,-3.218
S70SFJ8S//D27,0.165,0.413,0.0,0.193,40.328,-3.218
S71467HF//189-12,0.374,0.678,0.458,0.503,40.292,-3.217
S71G5AC8//189-11,0.224,0.549,0.0,0.258,40.292,-3.217
S73NP0J2//189-10,0.224,0.549,0.0,0.258,40.292,-3.216
S74SM4JO//D28,0.16,0.299,0.0,0.153,40.327,-3.216
S75OJP8F//189-9,0.224,0.549,0.0,0.258,40.291,-3.215
S77KVV12//D29,0.155,0.29,0.0,0.148,40.326,-3.214
S78157MX//189-8,0.224,0.549,0.0,0.258,40.291,-3.214
S783DILX//189-6-1-CT,0.092,0.3,0.0,0.131,40.289,-3.214
S7AAX8X3//189-7,0.224,0.549,0.0,0.258,40.29,-3.213
S7AKO0K3//189-6,0.224,0.549,0.0,0.258,40.289,-3.212
S7ALFFNX//189-7-1,0.157,0.424,0.0,0.194,40.29,-3.212
S7ATNEM5//D30,0.15,0.28,0.0,0.143,40.325,-3.212
S7BSKRFB//189-5,0.224,0.575,0.0,0.266,40.289,-3.212
S7CKR95N//D59-3-11,0.165,0.439,0.0,0.201,40.277,-3.211
S7CN1LDA//189-4,0.224,0.575,0.0,0.266,40.288,-3.211
S7CT14OH//D59-3-10-1-CT,0.031,0.186,0.0,0.073,40.277,-3.211
S7CWQBXF//D59-3-10,0.165,0.439,0.0,0.201,40.277,-3.211
S7DAPFTG//189-3,0.224,0.446,0.0,0.223,40.288,-3.211
S7DXW5GE//D59-3-9,0.165,0.439,0.0,0.201,40.278,-3.211
S7EULF2I//D31,0.144,0.27,0.0,0.138,40.324,-3.21
S7FUA7XL//D59-3-8,0.165,0.439,0.0,0.201,40.278,-3.21
S7I8CKKC//D59-3-7,0.165,0.464,0.0,0.21,40.279,-3.208
S7K3X81U//D59-3-6,0.165,0.439,0.0,0.201,40.279,-3.207
S7K8FV77//D59,0.0,0.101,0.458,0.187,40.288,-3.207
S7KO6AMP//D32,0.139,0.261,0.0,0.133,40.323,-3.207
S7LWSE9U//D59-3-5-2-CT,0.031,0.186,0.0,0.073,40.278,-3.206
S7M72A6O//D59-3-3,0.165,0.439,0.0,0.201,40.281,-3.206
S7MARHA0//D59-3-5,0.165,0.439,0.0,0.201,40.28,-3.206
S7MBIWHE//D59-3-3-1-CT,0.031,0.186,0.0,0.073,40.282,-3.206
S7ML9NUP//D59-3-5-1,0.099,0.312,0.0,0.137,40.279,-3.206
S7N5XQHB//D59-3-2,0.165,0.439,0.0,0.201,40.282,-3.206
S7NGG35B//D33,0.134,0.251,0.0,0.128,40.323,-3.206
S7NHWU4V//D58,0.005,0.008,0.0,0.004,40.29,-3.205
S7NTVW28//D59-3-4,0.165,0.439,0.0,0.201,40.281,-3.205
S7OJ4NLW//D57,0.01,0.121,0.0,0.044,40.291,-3.205
S7OPTMG9//D59-1,0.233,0.437,0.0,0.223,40.284,-3.205
S7PI254F//D59-3-1,0.165,0.439,0.0,0.201,40.282,-3.204
S7Q6HER3//D59-2,0.233,0.566,0.0,0.266,40.284,-3.204
S7R0WCF7//D34,0.129,0.242,0.0,0.124,40.322,-3.204
