h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
0.193,0.209,0.209,0.207,0.206,0.161,0.084,0.077,0.077,0.077,0.080,0.081,0.080,0.080,0.083,0.085,0.085,0.078,0.078,0.081,0.085,0.085,0.089,0.091
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.018,-0.019,-0.019,-0.019,-0.018,-0.017,-0.016,-0.014,-0.011,-0.010,-0.011,-0.011,-0.012,-0.012,-0.013,-0.013,-0.013,-0.011,-0.011,-0.012,-0.014,-0.015,-0.016,-0.017
-0.018,-0.019,-0.019,-0.019,-0.018,-0.017,-0.017,-0.014,-0.012,-0.011,-0.012,-0.012,-0.012,-0.012,-0.013,-0.013,-0.013,-0.012,-0.012,-0.013,-0.015,-0.015,-0.017,-0.017
-0.018,-0.019,-0.019,-0.019,-0.018,-0.018,-0.017,-0.014,-0.012,-0.011,-0.012,-0.012,-0.012,-0.012,-0.013,-0.013,-0.013,-0.012,-0.012,-0.013,-0.015,-0.015,-0.017,-0.017
-0.018,-0.019,-0.019,-0.019,-0.018,-0.018,-0.017,-0.014,-0.012,-0.011,-0.012,-0.012,-0.013,-0.013,-0.013,-0.013,-0.013,-0.012,-0.012,-0.013,-0.015,-0.015,-0.017,-0.017
-0.018,-0.019,-0.019,-0.019,-0.018,-0.017,-0.016,-0.014,-0.011,-0.010,-0.011,-0.011,-0.012,-0.012,-0.013,-0.013,-0.013,-0.011,-0.011,-0.012,-0.014,-0.015,-0.016,-0.017
-0.018,-0.019,-0.019,-0.019,-0.018,-0.017,-0.016,-0.014,-0.011,-0.010,-0.011,-0.011,-0.012,-0.012,-0.013,-0.013,-0.013,-0.011,-0.011,-0.012,-0.014,-0.015,-0.016,-0.017
-0.018,-0.019,-0.019,-0.019,-0.018,-0.017,-0.016,-0.014,-0.011,-0.010,-0.011,-0.011,-0.012,-0.012,-0.013,-0.013,-0.013,-0.011,-0.011,-0.012,-0.014,-0.015,-0.016,-0.017
-0.018,-0.018,-0.019,-0.019,-0.018,-0.017,-0.016,-0.013,-0.011,-0.010,-0.011,-0.011,-0.012,-0.012,-0.012,-0.013,-0.012,-0.011,-0.011,-0.012,-0.014,-0.014,-0.016,-0.016
-0.018,-0.019,-0.019,-0.019,-0.018,-0.017,-0.017,-0.014,-0.012,-0.011,-0.012,-0.012,-0.012,-0.012,-0.013,-0.013,-0.013,-0.012,-0.012,-0.013,-0.015,-0.015,-0.017,-0.017
