Support_ID,H1_KPI_weighted_power,H2_Criticity,H3_Condition,H4_Risk
S82CXD65//D59-13,6.943,5.78,2.757,4.305
S83RL7FF//D53,4.346,3.682,2.424,3.084
S841T57R//D37,5.428,4.533,2.417,3.493
S84734ES//D59-14,6.961,5.771,3.129,4.474
S84736GE//D52,4.416,3.74,0.969,2.374
S84J2977//D53-1,6.96,5.771,1.325,3.594
S84NIXJ3//D38,5.357,4.498,0.978,2.751
S84NIXPC//D37-1,6.974,5.765,1.334,3.625
S84S1M0G//D37-1-1,6.107,5.087,3.114,4.129
S84WIA2F//D39,5.277,4.43,0.975,2.723
S8530W8B//D40,5.206,4.373,2.419,3.429
S853QBGQ//D53-2,6.96,5.782,2.765,4.318
S856Q41I//D51,4.482,3.776,0.978,2.401
S859PVF1//D42-2-CT,6.128,5.101,2.775,3.954
S85AHD29//D37-1-3CT,6.097,5.08,2.78,3.966
S85GGRDN//D59-15,6.942,5.766,2.768,4.277
S85IP4H6//D59-16-1CT,6.085,5.073,1.334,3.229
S85JGM0G//D50,4.557,3.844,0.975,2.441
S85UOAUI//D42-1,6.98,5.772,2.765,4.327
S860FGKE//D53-3,6.972,5.767,2.762,4.305
S8646LTF//D59-16,6.973,5.769,3.123,4.509
S865NLKC//D41,5.144,4.328,0.978,2.677
S86A6896//D53-4,6.966,5.755,2.78,4.295
S86FECA3//D49,4.63,3.885,0.973,2.482
S86G5S8R//D42,5.101,4.264,2.414,3.356
S86JV1D6//D43,5.02,4.21,2.395,3.351
S86ODNJ7//D44,4.941,4.17,0.978,2.602
S86S4VRT//D37-1-X-1,5.247,4.392,3.124,3.796
S86UD7R5//D45,4.882,4.105,0.974,2.56
S86WLITM//D46,4.809,4.047,0.974,2.546
S872CQ0G//D47,4.744,3.998,0.972,2.519
S873TJ4G//D59-17,6.965,5.755,3.13,4.505
S8763X5V//D48,4.681,3.944,0.974,2.474
S87L2SME//D44-1,6.981,5.787,0.974,3.42
S885QRIM//D59-18,6.967,5.768,3.123,4.487
S88D9C3N//D40-1,6.977,5.791,1.334,3.587
S88WOSRW//D44-2-CT,6.11,5.082,2.773,3.942
S89ANS5P//D59-19,6.96,5.774,3.114,4.493
S89RV4VL//D37-2,6.969,5.785,3.13,4.482
S8B6AK5T//D37-3,6.982,5.791,3.13,4.479
S8B71UGX//D59-20,6.963,6.787,3.115,4.978
S8BMQAWE//D40-2,6.982,5.792,0.973,3.417
S8C3P1J7//D59-21,6.965,6.794,3.122,5.007
S8D5METU//D37-4,6.965,5.794,3.139,4.476
S8DICRSO//D59-22,6.949,6.787,1.329,4.081
S8E32U09//D59-26-1-CT,5.224,5.396,2.77,4.121
S8EPIACX//D40-3,6.961,5.785,1.337,3.605
S8EUQ8WK//D59-26,6.957,6.781,2.775,4.814
S8FV6L93//D59-27,6.953,6.802,3.11,4.985
S8GBE6DU//D37-5,6.976,5.8,3.109,4.499
S8GX3TNL//D59-28,6.952,6.776,3.142,4.993
S8HV9UT5//D59-29,6.955,6.788,3.132,4.993
S8I411LT//D37-6,6.971,5.774,2.773,4.315
S8IUWS47//D59-30,6.954,6.779,3.136,5.003
S8IVOEH2//D37-6-1,6.105,5.093,2.761,3.943
S8J1FLEQ//D40-4,6.978,5.769,0.973,3.409
S8JGEGPR//D37-6-2,6.099,5.078,2.758,3.966
S8JQ58J9//D37-7,6.966,5.793,3.129,4.486
S8JQUI4S//D59-31,6.949,6.782,2.771,4.814
S8K73W3V//D59-31-1-CT,5.228,5.404,2.756,4.108
S8KEKHV7//D37-6-3,6.099,5.079,2.766,3.971
S8KLBHKI//D37-8,6.981,5.794,2.76,4.297
S8L1IVBG//D37-6-4-CT,5.231,4.394,2.755,3.608
S8LO01LP//D59-32,6.952,6.79,3.129,4.999
S8LPH3OJ//D37-14,6.969,5.783,2.756,4.298
S8LW82QD//D37-9,6.959,6.798,3.126,5.0
S8MGW5D3//D37-13,6.981,5.771,3.126,4.502
S8N1M6RQ//D40-5,6.973,6.789,1.337,4.1
S8N5DET0//D37-12,6.963,6.81,2.765,4.838
S8N64U42//D37-14-1CT,6.118,5.096,2.78,3.961
S8N8D6UE//D37-10,6.98,6.798,3.115,5.025
S8NECJMT//D59-33,6.968,6.775,1.326,4.089
S8NFTLTD//D37-15,6.97,5.777,2.774,4.312
S8OJ9Q29//D37-11,6.991,6.809,2.761,4.851
S8PCWX9A//D59-34,6.961,6.802,3.108,4.994
S8Q7DWB0//D40-6,6.988,6.811,1.332,4.132
S8QN49G7//D37-16,6.968,5.79,3.103,4.508
S8RSQJ24//D59-35,6.968,6.798,1.335,4.106
S8SNWS2N//D59-36,6.958,6.772,3.131,4.976
S8TKM4BV//D40-7,6.975,6.776,0.975,3.94
S8TWL889//D37-17,6.975,5.789,2.763,4.312
S8UU1M6K//D59-37,6.944,6.784,3.117,5.0
S8W1O3VO//D59-38,6.964,6.804,3.128,4.982
S8XKSIKL//D59-39,6.958,6.779,2.767,4.808
S91H6L3M//D59-40,6.95,6.788,1.335,4.102
S935AS15//D59-41,6.958,6.777,3.131,5.002
S9362F3T//D37-18CT,6.985,5.774,2.76,4.335
S943H17G//D37-19,6.974,5.771,0.98,3.41
S94UER5Q//D59-42,6.964,6.785,3.127,4.986
S95TCFBF//D37-20,6.985,5.794,0.975,3.425
S96NR3FP//D59-43,6.953,6.785,3.137,4.986
S98JDOV2//D59-44,6.967,6.776,3.122,5.015
S9B6FE4T//D59-45,6.937,6.787,1.331,4.079
S9C9TIPU//D59-46,6.945,6.78,3.141,4.978
S9EKF18O//D59-47,6.958,6.781,2.762,4.822
S9G9AN83//D59-48,6.961,6.786,2.768,4.819
S9GNI37M//D59-49,6.964,6.79,2.769,4.824
S9H009WP//D59-48-1,6.088,6.097,2.766,4.443
S9HK78CL//D59-48-2,6.102,6.086,3.126,4.644
S9IG4WEF//D59-50,6.948,6.773,3.116,4.995
S9JAJQF3//D59-48-3,6.093,6.088,3.133,4.651
S9K78VHR//D59-51,6.96,6.771,3.121,4.986
S9L5EWSE//D59-48-4,6.072,6.08,3.112,4.64
S9M5TB4P//D59-52,6.949,6.773,2.774,4.817
S9MNRWGQ//D59-48-5,6.09,6.072,3.116,4.624
S9ODF1BO//D59-53,6.965,6.789,3.126,4.98
S9OEVVL6//D59-48-6,6.085,6.095,3.125,4.618
S9PP31O3//D59-48-7,6.095,6.096,3.134,4.674
S9QN92WJ//D59-48-8,6.095,6.099,0.971,3.563
S9R185I1//D59-54,6.974,6.785,2.788,4.82
S9R5OS3P//D59-48-9,6.089,6.088,3.106,4.644
S9SL4188//D59-55,6.961,6.798,2.765,4.804
S9SVK89X//D59-48-10,6.084,6.106,3.13,4.653
S9UVNI1O//D59-48-11,6.083,6.107,3.131,4.656
S9VK4R87//D59-56,6.948,6.792,3.142,4.983
S9WS1K4W//D59-57,6.937,6.799,2.764,4.836
S9WVQRRJ//D59-48-12,6.088,6.074,3.12,4.66
SA046O6W//D59-58,6.94,6.796,2.762,4.804
SA0WLIL2//D59-48-13,6.081,6.099,3.131,4.628
SA20IQMI//D59-59,6.971,6.787,3.118,5.01
SA2M8LLM//D59-48-14,6.087,6.096,2.76,4.455
SA3FW02P//D59-60,6.954,6.788,1.339,4.082
SA4W2N0P//D59-48-15,6.083,5.079,1.332,3.222
SA5L9D5K//D59-61,6.975,6.8,3.111,5.007
SA715OGG//D59-62,6.944,6.788,2.766,4.799
SA8L1K81//D59-63,6.965,6.813,2.758,4.835
SA9A8AUC//D59-64,6.965,6.767,2.765,4.779
SAA3VNQU//D59-63-1-CT,5.221,5.399,2.761,4.119
SAA3VNV0//D59-65,6.974,6.79,2.778,4.808
SAAR4EJ8//D59-66,6.966,6.807,2.764,4.812
SAF2AALR//D59-67,6.963,6.798,2.758,4.806
SAHBCV02//D59-68,6.947,6.789,2.772,4.826
SAHF4495//D59-68-1-CT,5.217,5.379,2.749,4.098
SAJTES0E//D59-69,6.976,6.787,2.77,4.815
SAM60AF0//D59-70,6.974,6.779,6.339,6.618
SAOEBFMR//D59-71,6.946,6.786,2.765,4.809
SAQ6WASR//D59-72,6.967,6.769,3.122,4.967
SAS99VNN//D59-73,6.96,6.8,3.111,4.989
SATW5JKO//D59-74,6.957,6.781,2.751,4.838
SAX2EF03//D59-76-1 CT,6.072,6.08,2.758,4.456
SAXCULNU//D59-76,6.94,6.798,2.411,4.635
SB15HGUF//D59-77,6.964,6.782,3.129,5.014
SB32L0DN//D59-78,6.942,6.808,3.126,4.987
SB4W7LQT//D59-79-1 CT,6.077,6.081,1.334,3.769
SB51WT27//D59-79,6.944,6.785,2.771,4.815
SB65CXNO//D59-80 CT,6.972,6.793,2.754,4.836
TAWHA09W//D59-75,6.961,6.773,2.413,4.634
